"company_name","sector","latest_year","latest_revenue","latest_net_income","latest_total_assets"
Royal Bank of Canada,Banking,2025,66605000000,20369000000.0,2325006000000.0
Toronto-Dominion Bank,Banking,2025,67777000000,20538000000.0,2094558000000.0
Bank of Montreal,Banking,2025,36274000000,8725000000.0,1476802000000.0
Enbridge Inc.,Energy,2025,18502000000,2321000000.0,218973000000.0
Suncor Energy Inc.,Energy,2025,,,1147418000.0
TC Energy Corporation,Energy,2025,15239000000.0,4094000000.0,125034000000.0
BCE Inc.,Telecommunications,,,,
TELUS Corporation,Telecommunications,,,,
Canadian National Railway,Industrials,,,,
Canadian Pacific Kansas City,Industrials,2025,15078000000.0,4137000000.0,87744000000.0
Shopify Inc.,Technology,2025,11556000000.0,1231000000.0,15189000000.0
Constellation Software Inc.,Technology,,,,
Barrick Gold Corporation,Mining,2025,8174000000.0,,73710000000.0
Teck Resources Limited,Mining,,,,
Fortis Inc.,Utilities,2025,5961600000,867900000.0,33948500000.0
Hydro One Limited,Utilities,2025,14299900000,-3514900000.0,61553000000.0
Loblaw Companies Limited,Consumer,2026,19411800000.0,1282500000.0,23022100000.0
George Weston Limited,Consumer,2025,7239290000,587588000.0,4479523000.0
Dollarama Inc.,Consumer,,,,
Canadian Natural Resources Limited,Energy,2025,,-7157946.0,22520572.0
Bank of Nova Scotia,Banking,2025,37741000000,7758000000.0,1460042000000.0
Canadian Imperial Bank of Commerce,Banking,2025,,,2685922000.0
National Bank of Canada,Banking,2025,,12942560.0,842782234.0
Sun Life Financial Inc.,Financial Services,2025,41900000000,3782000000.0,398455000000.0
Canadian Tire Corporation Limited,Consumer,2014,1410000000.0,,18649000000.0
CAE Inc.,Industrials,2025,4707900000,415000000.0,11213800000.0
CGI Inc.,Technology,2025,19027000000.0,2139000000.0,34366000000.0
OpenText Corporation,Technology,2025,,436066000.0,17089200000.0
Agnico Eagle Mines Limited,Mining,2025,11907851000.0,4461461000.0,34471291000.0
